society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,Direction
"santiniketan apartment, behala chowrastha",0.34,"behala, behala",4594.0,Built Up area: 740 (68.75 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,1,1,not available,3,,5 to 10 Year Old,,"['4 Fan', '1 Stove', '6 Light', '1 Chimney', '1 Curtains', '2 Wardrobe', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']",,South
tapoban apartments,0.65,rajarhat,6701.0,Super Built up area 1236(114.83 sq.m.)Carpet area: 970 sq.ft. (90.12 sq.m.),3.0,2,2,not available,3,North-East,5 to 10 Year Old,"['Shitala Mandir', 'State bank of india ATM', 'Union bank of india ATM', 'Axis bank ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Allahabad bank ATM', 'Kolkata Nursing Home', 'Charnock Hospital Pvt Ltd', 'New Life Nursing Home Kolkata', 'Spandan Hospital', 'B B Eye Foundation VIP ROAD', 'Renaissance Hospital', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Avenue Nursing Home', 'Maa Sarada Nursing Home', 'Little Hut Nirikshan Kendra', 'Revive Nursing Home', 'CGHS Dispensary', 'ILS Hospitals - Dumdum', 'Tulip Nursing Home', 'Imagine Tech Park', 'Geetanjali IT Park', 'P.S. Srijan Techpark', 'Airport Bus Stand lines VS1', 'Hdfc bank', ""McDonald's"", 'KFC', 'KFC', 'O-Zone Restaurant cum Bar', 'Stash Cafe', 'Little Friends school', 'Calcutta Public School']","['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Visitor Parking']",East
super planet height,1.25,tiljala,6975.0,Built Up area: 1792 (166.48 sq.m.),3.0,2,1,not available,12,,undefined,"['Ice Skating Rink', 'Jyotirmoyee Radha Krishna Mandir', 'Sbi ATM', 'Quadra Medical Services Pvt Ltd', 'Micro Surgery Day Centre', 'All Asia Medical Institute', 'Dr Nihar Munshi Eye Foundation', 'Deshari Complete Eye Care', 'Repose Clinic and Research Centre Pvt. Ltd.', 'Duncan Gleneagles Hospitals', 'CGHS Dispensary Dover Lane', 'South Calcutta Clinic', 'Prince Nursing Home Kolkata', 'Grandview Nursing Home', 'Disha Eye Hospital', 'Health Point Hospitals', ""Implant's Better Sight Centre Pvt Ltd"", 'Omega Optics', 'Mood', 'N G Medicare And Calcutta Hope Infertility Clinic', 'The Medicure Kolkata', 'Calcutta Heart Research Center', 'Frank Ross', 'Ballygunge Drugs Centre', 'London paris cinema', 'Hdfc life bank', 'Momo on The Move', 'Dhaba', 'Kasturi', 'Mirch Masala', ""Haldiram's"", 'Tasty Corner', 'Teekha', 'Bojangles', '6 Ballygunge Place', 'Bohemian', 'Coffeeshop', 'Bhojohori Manna 6', 'Roll Shop', 'Automobile association of eastern India', 'Dawntown Cafe', 'Cafe coffee day', 'Jai Hind Dhaba', 'Sienna Store & Cafe', 'Dominos', 'My Big Fat Belly', 'Patha Bhavan Higher Secondary School', 'Patha Bhavan High School', 'Gita bhavan library']",,,South
prachi apartment,0.3,bara nagar,4411.0,Super Built up area 680(63.17 sq.m.),2.0,1,2,not available,3,,10+ Year Old,"['Baranagar metro station', 'Noapara metro station', 'Baranagar State General Hospital', 'Paradise Nursing Home Kolkata', 'Saraju Nursing Home', 'New Saraju Nursing Home', 'Astha Medical Services Pvt Ltd', 'Binayak Imaging And Diagnostic Pvt Ltd', 'Dum Dum Eye Microsurgery Centre', 'The May Fair Hospital', 'Critical and Trauma Care Hospital', 'Swasti Nursing Home', 'Micro Point Nursing Home for total EYE Care', 'Dr. Syamal Kumar Pandey', 'LAB-O-AID', 'Netra Jyoti Eye Care Centre', 'Nayandeep Eye Care', 'Des Nursing Home', 'Orbis Eye and Dental Care Centre', 'Zenith Super Specialist Hospital', 'Sahid Khudiram Bose Hospital', 'EVES Clinic Nursing Home', '4B Bus Stand', 'Belur Math Bus stop', 'Paikpara', 'Indian Oil', 'Bank of india', 'Domino Pizza', 'Student Canteen', 'Indian Statistical Institute', 'Baranagar road railway station', 'Dakshineswar railway station', 'Dum dum junction railway station', 'Belgharia railway station']",,['Water Storage'],North
garvit enclave,0.29,howrah,3700.0,Carpet area: 625 (58.06 sq.m.),2.0,1,1,not available,1,South-East,0 to 1 Year Old,"['Lokenath Baba Mandir', 'Dinanta Ashar Kali Mandir', 'Radha Krishna Mandir', 'Mandirtala Mondir', 'Shibtala', 'Podra More Durga Temple', 'Ismail Mosque', 'Shibtala Baroari Durga Temple', 'Sitala Mandir', '58 bus stand ATM', 'Mandir tala ATM', 'Sbi ATM', 'South Howrah State General Hospital', 'SMI Pvt Ltd', 'Chokher Aloy', 'Mandelia Maternity and Nursing Home', 'M.B. Nursing Home', 'Smt. Sarla Pahwa Memorial Eye Centre', 'Palview Nursing Home', 'Nabanna Bus Stand', '61 No Petrol Station', 'Indian Oil', 'Bharat Petroleum', 'Sbi atm bank', 'NOXX', 'Fiesta', 'Padmapukur railway station', 'Shalimar railway station', 'Khidirpur railway station']",,['Lift(s)'],West
indralok estate,0.34,paikpara,4000.0,Built Up area: 850 (78.97 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),3.0,2,1,not available,3,South,undefined,"['Dum dum metro station', 'Belgachia metro station', 'Hanuman Mandir', 'Lichubagan Radha Krishna Temple', 'Sbi ATM', 'Bank of india ATM', 'Sbi ATM', 'Des Nursing Home', 'Dr. Syamal Kumar Pandey', 'The May Fair Hospital', 'EVES Clinic Nursing Home', 'Critical and Trauma Care Hospital', 'Astha Medical Services Pvt Ltd', 'Saraju Nursing Home', 'New Saraju Nursing Home', 'Dum Dum Eye Microsurgery Centre', 'Binayak Imaging And Diagnostic Pvt Ltd', 'L.B.Nursing Home', 'Narayana Hrudayalaya Eye Clinic', 'Medilink Health Care Diagnostic Centre Pvt. Ltd.', 'CGHS Dispensary Lake-Town', 'Eskag Sanjeevani Hospital', 'Five Point Micro Surgery Centre Pvt Ltd', 'CGHS Dispensary Shyambazar', 'New Nirnoy Nursing Home', 'Dreamland Nursing Home Only Kolkata Police', 'Nabajiban Hospital Pvt Ltd', 'Northland Nursing Home', 'Baranagar State General Hospital', 'Sterling Hospital Kolkata', 'Alokon Eye Care Pvt. Ltd.', 'Serum Sristi Nursing Home', 'Health Cure Nursing Home', 'Nayan Jyoti Eye Care Centre', 'Nirman Community Center', 'Paikpara', '4B Bus Stand', 'Domino Pizza', 'Cafe Cofee Day', 'Momozing', 'My Little Kitchen', 'New Madras Tiffin', 'Prachya Bani Mondir for Boys', 'Sarada Vidyapith', 'Dum dum junction railway station', 'Tala railway station', 'Patipukur railway station', 'Kolkata chitpur railway station', 'Bagbazar railway station']",,,North
gm meena surya,0.32,new town,3200.0,Built Up area: 1000 (92.9 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,2,1,not available,2,North,undefined,"['Rabindra Tirtha Metro Station', 'mandir', 'Axis bank ATM', 'Hdfc bank ATM', 'Global Healthcare System', 'Belle Vue Hospital', 'Bhagirathi Neotia Woman And Child Care Centre', 'Tata Cancer Hospital', 'Apollo Dental Clinic', 'Sanjeevani Health and Lifestyle Pvt Ltd', 'Geetanjali IT Park', 'DLF IT Park', 'DLF Tower', 'Mani Casadona Parking Lot', 'Eco Park Gate 1 Parking Lot', 'New Town Bus Depot', 'Balaka Bus Terminus', 'Indian Oil Petrol Pump', 'Bioscope', 'Hangout', 'Eco Hub', 'IRCTC Cafe', 'Biswa Bangla Gate', 'Aaheli', ""St. Xavier's University"", 'Aliah University', 'Amity University', 'Acharya Tulsi Academy Orchids The International School Newtown']",,,East
bhawani sunvalley,0.45,dum dum,4732.0,Built Up area: 951 (88.35 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2.0,2,1,not available,4,,undefined,"['Dum dum metro station', 'Hanuman Mandir', 'Lichubagan Radha Krishna Temple', 'The Church of Jesus Christ of Latter-day Saints', 'Sbi ATM', 'State bank of india ATM', 'Allahabad bank ATM', 'Icici bank ATM', 'Hdfc bank ATM', 'Bank of baroda ATM', 'CGHS Dispensary Lake-Town', 'bangur medical center', 'Aditya Hospital', 'Narayana Hrudayalaya Eye Clinic', 'Alokon Eye Care Pvt. Ltd.', 'Nayan Jyoti Eye Care Centre', 'Health Cure Nursing Home', 'EVES Clinic Nursing Home', 'Udichi ENT and Head Neck Center', 'Dafodil Hospitals', 'ILS Hospitals - Dumdum', 'Des Nursing Home', 'Dr. Syamal Kumar Pandey', 'CGHS Dispensary Salt-Lake AF', 'Tulip Nursing Home', 'Anandalok Polyclinic', 'North Point Nursing Home Pvt. Ltd', 'Revive Nursing Home', ""Dr Paul's Clinic"", 'Avenue Nursing Home', 'Dum Dum Eye Microsurgery Centre', 'Nirman Community Center', ""BF block Residents' Association"", 'Nagerbazar nursery', 'PVR', 'KFC', 'Momozing', 'My Little Kitchen', 'Cafe Cofee Day', 'New Rajkumar Sweets', 'Aqua Java Air', 'Sarada Vidyapith', 'Prachya Bani Mondir for Boys', 'Maulana Abul Kalam Azad University of Technology', 'West Bengal University of Technology', 'Calcutta Public School', 'Patipukur railway station', 'Dum dum junction railway station', 'Dum dum cantonment railway station']",,,South
dream residency,0.5,salua,5181.0,Built Up area: 965 (89.65 sq.m.),2.0,2,1,not available,2,West,undefined,"['Kali mandir', 'Kali Temple', 'Manasha Mandir', 'Shitala Mandir', 'Kali Mandir', 'Dharmaraj Temple', 'State bank of india ATM', 'Axis bank ATM', 'Union bank of india ATM', 'Kolkata Nursing Home', 'Maa Sarada Nursing Home', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Netram Eye Hospital', 'Little Hut Nirikshan Kendra', 'Charnock Hospital Pvt Ltd', 'Renaissance Hospital', 'CGHS Dispensary', 'Spandan Hospital', 'B B Eye Foundation VIP ROAD', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'New Life Nursing Home Kolkata', 'Dr. Rathikul Hasan', 'Avenue Nursing Home', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Geetanjali IT Park', 'Airport Bus Stand lines VS1', 'Indian Oil', 'Hdfc bank', 'KFC', ""McDonald's"", 'KATHI JUNCTION', 'Stash Cafe', 'KFC', 'O-Zone Restaurant cum Bar', 'Little Friends school']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,East
anik one rajarhat,1.25,new town,10048.0,Built Up area: 1244 (115.57 sq.m.),2.0,3,0,not available,15,,undefined,"['Nearest Metro Station', 'Axis Mall', 'Shristi The V', 'DPS New Town School', 'International School of Business', 'Techno India College Of Technology', 'Tata Medical Center', 'Ohio Hospital', 'Tata Medical Centre', 'Kolkata Airport', 'Eco park', 'Unitech Infospace (SEZ)', 'Tata Consultancy Services', 'Novotel', 'Westin']",,,East
natural city laketown,0.85,lake town,6605.0,Built Up area: 1287 (119.57 sq.m.),3.0,2,1,not available,10,South,undefined,,,,North
radha residence,0.35,brahmapur,4667.0,Built Up area: 750 (69.68 sq.m.),2.0,1,1,not available,3,East,undefined,"['Kavi nazrul metro station', 'Brahmapur Badamtala Jame Masjid', 'Gosto Mandir', 'Sitala mandir', 'Sree Guru Sangha Main Gate', 'Sitala Temple', 'Sri Sri 108 Doyal Baba Asram', 'Axis bank ATM', 'Icici bank ATM', 'Sbi ATM', 'Sevangan Medical Complex', 'Kumar Surgical and Laparoscopic Clinic', 'Garia Eye Clinic and Micro Surgery Centre', 'Udayan Nursing Home', 'Hindustan Health Point Pvt Ltd', 'BRWS Hospital', 'IRIS HOSPITAL', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Dakshinee Eye Foundation', 'Lions North Kolkata Hospital and Medical Centre', 'Baghajatin State General Hospital', 'Apollo Pharmacy', 'CSTC Bus Terminal', 'IOCL Petrol Pump', 'Bank of baroda', 'State bank of india brahmapur branch', 'Hdfc bank brahmapur branch', 'State bank of india bansdroni', 'Axis bank', 'Axis bank', 'Madhuban Cinema', 'Machhranga Airconditioned Multi Cuisine', 'Netaji Nagar College']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,South
magnolia nakshatra,0.22,barasat,2588.0,Built Up area: 850 (78.97 sq.m.)Carpet area: 760 sq.ft. (70.61 sq.m.),2.0,2,1,not available,0,,undefined,"['Star Mall', 'Colony More, Barasat', 'SH 2, Barasat', 'West Bengal State University', ""Nabapally Boys' High School"", 'Barasat College', 'Adamas University', 'Mount Litera Zee School North Kolkata', 'Kalyani Public School', 'Brainware University, Kolkata', 'Acharya Prafulla Chandra College', 'Medilife, Sadarpur', 'Barasat Station', 'Lali Cinema Hall, NH12', 'Jaya Cinemas - City Mall Barasat']",,,North
shivam apartment,0.32,sonarpur,3951.0,Built Up area: 810 (75.25 sq.m.),2.0,1,1,not available,1,South-East,undefined,,,,South
swagat aashiyana,0.43,narayanpur,3308.0,Built Up area: 1300 (120.77 sq.m.)Carpet area: 980 sq.ft. (91.04 sq.m.),2.0,2,1,not available,4,South-East,undefined,"['Kali mandir', 'Manasha Mandir', 'Kali Mandir', 'Dharmaraj Temple', 'Kanjialpara Shani Mandir', 'Kali Temple', 'Mukherjee Barir Durgadalan', 'Rekjoani Shitala Mandir', 'Rajarhat Police Station Kali Temple', 'Netram Eye Hospital', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Maa Sarada Nursing Home', 'Dr. Rathikul Hasan', 'Little Hut Nirikshan Kendra', 'Kolkata Nursing Home', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'Airport Bus Stand lines VS1', 'Birati Minibus', 'Indian Oil', 'KATHI JUNCTION', 'KFC', ""McDonald's"", 'Stash Cafe']",,,North
prestige mansion,0.35,baguiati,2500.0,Built Up area: 1400 (130.06 sq.m.),3.0,2,1,not available,0,,undefined,"['Lichubagan Radha Krishna Temple', 'Union bank of india ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Axis bank ATM', 'State bank of india ATM', 'Allahabad bank ATM', 'Icici bank ATM', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'New Life Nursing Home Kolkata', 'B B Eye Foundation VIP ROAD', 'Avenue Nursing Home', 'Spandan Hospital', 'Revive Nursing Home', 'Renaissance Hospital', 'Charnock Hospital Pvt Ltd', 'Kolkata Nursing Home', 'ILS Hospitals - Dumdum', 'Aditya Hospital', 'CGHS Dispensary Salt-Lake AF', 'Tulip Nursing Home', 'Little Hut Nirikshan Kendra', 'Maa Sarada Nursing Home', 'bangur medical center', 'Anandalok Polyclinic', 'North Point Nursing Home Pvt. Ltd', 'Nayan Jyoti Eye Care Centre', 'CGHS Dispensary', 'Udichi ENT and Head Neck Center', ""BF block Residents' Association"", 'Imagine Tech Park', 'P.S. Srijan Techpark', 'Nagerbazar nursery', 'Hdfc bank', 'PVR', 'O-Zone Restaurant cum Bar', 'KFC', 'New Rajkumar Sweets', 'KFC', ""McDonald's"", 'KFC', ""Santa's Fantasea"", 'Aqua Java Air', 'Calcutta Public School', 'Little Friends school', 'Sarada Vidyapith', 'Maulana Abul Kalam Azad University of Technology', 'West Bengal University of Technology']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,North
puja apartment,0.21,dum dum,3750.0,Built Up area: 560 (52.03 sq.m.)Carpet area: 470 sq.ft. (43.66 sq.m.),1.0,1,1,not available,2,North-East,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,North
moni diamond,0.77,patuli,6039.0,Built Up area: 1275 (118.45 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3.0,2,2,not available,1,North-East,undefined,"['Shahid khudiram metro station', 'Kavi nazrul metro station', 'Kavi subhash metro station', 'Sitala mandir', 'Sri Sri 108 Doyal Baba Asram', 'Sree Guru Sangha Main Gate', 'Gosto Mandir', 'Sitala Temple', 'Lake Pally Shiv Mandir', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua', 'Bikram mess kali mandir', 'Brahmapur Badamtala Jame Masjid', 'Icici bank ATM', 'Sbi ATM', 'BRWS Hospital', 'Garia Eye Clinic and Micro Surgery Centre', 'Red Plus Society Nursing Home', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Peerless Hospital and B.K.Roy Research Center', 'IRIS HOSPITAL', 'Apex Institute Of Medical Sciences', 'Dakshinee Eye Foundation', 'Sevangan Medical Complex', 'Baghajatin State General Hospital', 'Sunetra Eye and Family Care Centre', 'Hindustan Health Point Pvt Ltd', 'Namita Biswas Memorial Eye Hospital', 'Kumar Surgical and Laparoscopic Clinic', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Aditya Birla Sankara Nethralaya', 'Udayan Nursing Home', 'Yubatirtha club', 'Red Cross Society Medical Strore', 'Petrol pump', 'Axis bank', 'Axis bank', 'Hdfc bank brahmapur branch', 'State bank of india brahmapur branch', 'State bank of india bansdroni', 'State bank of india jadavpur stadium branch', 'Machhranga Airconditioned Multi Cuisine', 'Sandwiches', 'Cafe Coffee Day', 'Neils Kitchen', 'Sammilani Mahavidyalaya', 'Bagha jatin railway station', 'New garia railway station', 'Garia railway station', 'Jadavpur railway station']",,,South
ananda niketan,0.38,naktala,4767.0,Carpet area: 797 (74.04 sq.m.),2.0,1,1,not available,1,,1 to 5 Year Old,"['Kavi nazrul metro station', 'Sree Guru Sangha Main Gate', 'Sitala Temple', 'Sri Sri 108 Doyal Baba Asram', 'Gosto Mandir', 'Brahmapur Badamtala Jame Masjid', 'Sitala mandir', 'Lake Pally Shiv Mandir', 'Axis bank ATM', 'Icici bank ATM', 'Sbi ATM', 'Sbi ATM', 'Axis bank ATM', 'Kumar Surgical and Laparoscopic Clinic', 'Udayan Nursing Home', 'Sevangan Medical Complex', 'BRWS Hospital', 'IRIS HOSPITAL', 'Dakshinee Eye Foundation', 'Baghajatin State General Hospital', 'Garia Eye Clinic and Micro Surgery Centre', 'Lions North Kolkata Hospital and Medical Centre', 'Red Plus Society Nursing Home', 'Hindustan Health Point Pvt Ltd', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Apex Institute Of Medical Sciences', 'Apollo Pharmacy', 'Red Cross Society Medical Strore', 'CSTC Bus Terminal', 'IOCL Petrol Pump', 'Petrol pump', 'State bank of india bansdroni', 'Axis bank', 'Axis bank', 'State bank of india brahmapur branch', 'Hdfc bank brahmapur branch', 'Bank of baroda', 'Madhuban Cinema', 'Machhranga Airconditioned Multi Cuisine', 'Sandwiches', 'Netaji Nagar College', 'Sammilani Mahavidyalaya', 'High Tension Laboratory', 'Electrical Engineering Department', 'ITI', 'Indian Institute Of Chemical Biology', 'Bagha jatin railway station', 'Jadavpur railway station']","['3 Fan', '1 Exhaust Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,South
binayak purple,0.47,nayabad,4058.0,Super Built up area 1156(107.4 sq.m.),3.0,2,2,not available,2,,1 to 5 Year Old,"['Durga mandir', 'Shani mandir garia dhalua', 'Maa kali temple garia dhalua', 'Bikram mess kali mandir', 'Kali temple', 'Bank of baroda ATM', 'Pnb ATM', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Aditya Birla Sankara Nethralaya', 'Sunetra Eye and Family Care Centre', 'Peerless Hospital and B.K.Roy Research Center', 'Namita Biswas Memorial Eye Hospital', 'Apex Institute Of Medical Sciences', 'Red Cross Society Medical Strore', 'Santoshpur BBD BAG mini bus stopage', 'State bank of india jadavpur stadium branch', 'Trishna fast food', 'Neils Kitchen', 'Cafe Coffee Day', 'Sandwiches', 'Sammilani Mahavidyalaya', 'Garia railway station', 'New garia railway station', 'Dhakuria public library']",,"['Security / Fire Alarm', 'Lift(s)', 'Visitor Parking']",South
solaris city serampore,0.24,serampore,3750.0,Super Built up area 640(59.46 sq.m.)Carpet area: 620 sq.ft. (57.6 sq.m.),2.0,1,1,not available,5,South,Mar 2024,"['Upcoming Dakshineswar Metro', 'Serampore Court', 'Howrah Maidan', 'Newtown CBD', 'Serampore College', 'Government College of Engineering', 'Mahesh Sri Ramkrishna Ashram Vidyalaya', 'DPS North', 'Serampore Walsh Hospital', 'Serampore ESI Hospital', 'Disha Eye Hospital', 'DumDum Airport', 'Rishra Railway Station', 'Serampore Railway Station', 'Howrah Station']",,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM']",West
f1katju nagar,0.29,katju nagar,3918.0,Super Built up area 740(68.75 sq.m.),2.0,2,1,not available,0,,5 to 10 Year Old,"['Viveknagar Kalibari', 'Nipponzan Myohoji Buddhist Temple', 'Lake Kalibari', 'Cure Centre Nursing Home', 'hospoital', 'SilverLine Eye Hospital', 'Sri Aurobindo Seva Kendra EEDF', 'Calcutta Lions Netra Niketan', 'Jodhpur Park Nursing and Maternity Home Pvt Ltd', 'RG Stone Urology And Laparoscopy Hospital Kolkata', 'KD Cure S.C. Das Memorial Medical Center', 'Dr. Mina Majumder Seva Mandir Pvt. Ltd', 'Disha Eye Care Center', 'Swiss Park Nursing Home', 'Shankarnath Dialysis Centre and Nursing Home', 'AMRI Hospital', 'Medline Nursing Home', 'Santosh Clinic', 'Lake Nursing Home', 'CGHS Dispensary Lake Area', 'Dhakuria Sree Ramkrishna Sebasram', 'Ramkrishna Mission Institute of Culture', 'INOX South City', 'Indian bank', 'FORKSTRUCK', 'The Lighthouse Cafe', 'Burgers', 'Ubuntu Community', 'Crossroad Cafe', 'Spice Of Joy', ""What's Cafe"", ""Captain's Deck Bar and Grill"", 'Fillers', 'Tak Heng', 'Zaika', 'South City International School', 'Jadavpur Vidyapith', 'Indian Institute Of Chemical Biology', 'High Tension Laboratory', 'Electrical Engineering Department', 'Jadavpur N.K. Pal Adarsha Sikshayatan', 'Shishu Siksha Niketan', 'Adarsha Balika Shikshayatan', 'Jadavpur University', 'Birla Academy of Fine Arts', 'RD Memorial School', 'Lake gardens railway station', 'Jadavpur railway station', 'Dhakuria railway station', 'Tollygunge railway station']",[],,South
southwinds,0.75,garia,6117.0,Built Up area: 1226 (113.9 sq.m.),3.0,2,1,not available,6,,0 to 1 Year Old,"['Government Hospital', 'Subhas gram railway station', 'Mallikpur railway station']",,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",South
shiv parvati abasan,0.09,bhadreswar,2143.0,Super Built up area 420(39.02 sq.m.)Built Up area: 410 sq.ft. (38.09 sq.m.)Carpet area: 334 sq.ft. (31.03 sq.m.),1.0,1,1,study room,1,South,1 to 5 Year Old,"['Bhadreswar Municipal Hospital', 'Pandey Sebayan Nursing Home', 'Shyamnagar Nursing Home', 'Mankundu railway station']",,"['Private Garden / Terrace', 'Maintenance Staff', 'Park', 'Visitor Parking']",West
tribeni apartment,0.85,patipukur,8500.0,Carpet area: 1000 (92.9 sq.m.),3.0,2,1,not available,6,,1 to 5 Year Old,"['Belgachia metro station', 'Dum dum metro station', 'Hanuman Mandir', 'The Church of Jesus Christ of Latter-day Saints', 'Sbi ATM', 'Bank of india ATM', 'Sbi ATM', 'Icici bank ATM', 'State bank of india ATM', 'Health Cure Nursing Home', 'Alokon Eye Care Pvt. Ltd.', 'CGHS Dispensary Lake-Town', 'Dafodil Hospitals', 'Udichi ENT and Head Neck Center', ""Dr Paul's Clinic"", 'bangur medical center', 'BA 41', 'EVES Clinic Nursing Home', 'Rameswara Nursing Home Pvt Ltd', 'Des Nursing Home', 'Narayana Hrudayalaya Eye Clinic', 'Dr. Syamal Kumar Pandey', 'Aditya Hospital', 'Nirman Community Center', 'Care Hospital of Medicare Co-Operative Society', 'BA Block Community Hall', '15 No Bus Stand S30', 'Paikpara', 'Punjab national bank', 'State bank of india', 'Hdfc bank', 'State bank of india', 'Aqua Java Air', 'South Indian Best Food', 'Momozing', 'Cafe Cofee Day', 'My Little Kitchen', 'Momo I Am', '6 Ballygunge Place', 'Prachya Bani Mondir for Boys', 'Sarada Vidyapith', 'Sarada Prasad Institution For Boys', 'Salt Lake Collegiate School', 'Patipukur railway station', 'Kolkata chitpur railway station', 'Bidhan railway station', 'Bidhan nagar railway station', 'Tala railway station', 'Dum dum junction railway station', 'State central library']","['2 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage']",North
